City_ID,City,Long,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
473,nisia floresta,-35.2086,-6.0911,25.45,82,17,2.45,BR,2023-01-21 14:14:49
474,rocha,-54.3333,-34.4833,21.55,87,100,6.24,UY,2023-01-21 14:14:50
475,karksi-nuia,25.5628,58.1033,-4.01,95,100,1.2,EE,2023-01-21 14:14:50
476,den helder,4.7593,52.9599,-0.01,93,1,2.57,NL,2023-01-21 14:14:51
477,kushima,131.2333,31.4583,10.6,53,41,0.81,JP,2023-01-21 14:14:52
478,siniscola,9.6922,40.5719,3.75,82,58,4.61,IT,2023-01-21 14:14:52
479,kieta,155.6333,-6.2167,29.38,65,100,1.27,PG,2023-01-21 14:14:53
480,saint anthony,-93.218,45.0205,-6.03,93,100,4.12,US,2023-01-21 14:14:54
481,bani,-70.3333,18.2833,20.69,82,1,3.27,DO,2023-01-21 14:14:55
482,findochty,-2.901,57.6974,3.28,78,100,12.07,GB,2023-01-21 14:14:56
483,bereda,-7.5406,43.2686,11.19,100,100,1.65,ES,2023-01-21 14:14:57
484,hagere hiywet,37.85,8.9833,12.24,44,43,2.01,ET,2023-01-21 14:14:57
485,curitibanos,-50.5844,-27.2828,16.02,97,72,1.79,BR,2023-01-21 14:14:58
486,gat,34.7642,31.61,13.0,51,1,1.72,IL,2023-01-21 14:14:59
487,san miguel,-88.1833,13.4833,23.07,71,20,0.99,SV,2023-01-21 14:14:59
488,achutupo,-77.9833,9.2,25.72,81,55,5.11,PA,2023-01-21 14:15:00
489,fuerte olimpo,-57.8738,-21.0415,27.01,61,53,3.15,PY,2023-01-21 14:15:01
490,arman,150.1667,59.7,-24.44,77,97,3.57,RU,2023-01-21 14:15:01
491,faya,42.4509,18.3851,6.29,66,0,0.34,SA,2023-01-21 14:15:03
492,flinders,150.8552,-34.5833,25.1,62,76,1.79,AU,2023-01-21 14:15:04
493,sola,167.55,-13.8833,28.04,72,95,3.54,VU,2023-01-21 14:15:04
494,coihaique,-72.0662,-45.5752,16.97,72,75,1.03,CL,2023-01-21 14:15:06
495,san buenaventura,-101.5333,27.0833,16.93,83,0,2.38,MX,2023-01-21 14:15:07
496,tambacounda,-13.7586,13.7539,22.76,25,4,3.36,SN,2023-01-21 14:15:07
497,yatou,122.3833,37.15,1.23,33,2,4.56,CN,2023-01-21 14:15:08
498,port hardy,-127.4199,50.6996,6.37,92,100,7.66,CA,2023-01-21 14:15:09
499,berea,-81.8543,41.3662,2.08,82,100,3.6,US,2023-01-21 14:13:31
500,ellisras,27.7443,-23.6649,19.8,55,10,1.69,ZA,2023-01-21 14:15:11
501,ahraura,83.0167,25.0167,17.27,39,94,1.46,IN,2023-01-21 14:15:11
502,khanpur,70.6567,28.6453,10.72,60,0,3.62,PK,2023-01-21 14:15:12
503,college,-147.8028,64.8569,-15.61,81,75,0.0,US,2023-01-21 14:15:13
504,port lincoln,135.8667,-34.7333,20.47,60,63,6.91,AU,2023-01-21 14:15:14
505,kenai,-151.2583,60.5544,-1.03,93,100,0.0,US,2023-01-21 14:15:14
506,lahat,103.5333,-3.8,26.2,84,100,0.48,ID,2023-01-21 14:15:15
507,pacific grove,-121.9166,36.6177,8.82,73,0,1.54,US,2023-01-21 14:14:50
508,adrar,-10.0711,20.5022,16.34,32,0,3.95,MR,2023-01-21 14:15:16
509,poum,164.0167,-20.2333,27.32,86,100,14.69,NC,2023-01-21 14:15:17
510,taoudenni,-3.9836,22.6783,15.59,18,0,5.11,ML,2023-01-21 14:15:18
511,makakilo city,-158.0858,21.3469,26.18,65,0,6.17,US,2023-01-21 14:15:19
512,perbaungan,98.956,3.5679,24.06,78,100,2.79,ID,2023-01-21 14:15:19
513,ginda,78.4932,30.6945,3.26,64,15,3.65,IN,2023-01-21 14:15:20
514,shingu,135.9833,33.7333,8.6,35,0,1.14,JP,2023-01-21 14:15:21
515,envira,-70.2167,-7.3,20.67,100,98,1.03,BR,2023-01-21 14:15:21
516,kungurtug,97.5228,50.5994,-17.75,94,100,1.6,RU,2023-01-21 14:15:22
517,guerrero negro,-114.0611,27.9769,14.74,67,0,7.62,MX,2023-01-21 14:15:23
518,haines junction,-137.5108,60.7522,-4.03,97,100,1.79,CA,2023-01-21 14:15:24
519,pucallpa,-74.5539,-8.3791,22.02,100,75,0.0,PE,2023-01-21 14:15:24
520,koungheul,-14.8,13.9833,21.48,31,2,4.5,SN,2023-01-21 14:15:25
521,sosua,-70.5167,19.7667,23.99,94,20,0.0,DO,2023-01-21 14:13:34
522,balkanabat,54.3671,39.5108,0.84,50,0,2.34,TM,2023-01-21 14:15:27
523,huarmey,-78.1522,-10.0681,21.21,82,97,2.94,PE,2023-01-21 14:15:28
524,innisfail,146.0333,-17.5333,28.47,64,99,4.32,AU,2023-01-21 14:15:29
525,nantucket,-70.0995,41.2835,3.41,93,100,4.63,US,2023-01-21 14:13:28
526,lusambo,23.45,-4.9667,20.0,99,100,1.08,CD,2023-01-21 14:15:30
527,belle fourche,-103.8522,44.6714,0.05,58,95,3.43,US,2023-01-21 14:15:30
528,namatanai,152.4333,-3.6667,29.48,70,100,2.61,PG,2023-01-21 14:15:31
529,slubice,14.5607,52.3509,-0.8,84,100,2.68,PL,2023-01-21 14:15:37
530,victoria,114.1577,22.2855,18.87,79,94,4.92,HK,2023-01-21 14:14:16
531,wuwei,102.6414,37.9281,-5.81,24,92,0.66,CN,2023-01-21 14:15:39
532,zeerust,26.0751,-25.5369,19.55,60,50,2.32,ZA,2023-01-21 14:15:39
533,muisne,-80.0333,0.6,24.66,84,83,2.49,EC,2023-01-21 14:15:40
534,atbasar,68.3333,51.8,-18.17,83,50,2.08,KZ,2023-01-21 14:15:41
535,sumter,-82.0831,28.7086,20.01,75,98,2.26,US,2023-01-21 14:15:42
536,mahibadhoo,72.9667,3.7833,27.21,63,91,6.09,MV,2023-01-21 14:15:43
537,ilam,87.9167,26.9167,14.13,52,1,1.06,NP,2023-01-21 14:15:44
538,inuvik,-133.7218,68.3499,-22.58,77,100,0.0,CA,2023-01-21 14:10:45
539,urusha,122.9,54.05,-35.61,78,54,0.76,RU,2023-01-21 14:15:45
540,coolum beach,153.1,-26.5333,27.28,76,49,1.79,AU,2023-01-21 14:15:46
541,cayenne,-52.3333,4.9333,25.02,88,75,3.6,GF,2023-01-21 14:14:28
542,umm lajj,37.2685,25.0213,21.72,60,100,0.6,SA,2023-01-21 14:15:47
543,nhulunbuy,136.7667,-12.2333,31.34,66,75,4.63,AU,2023-01-21 14:15:48
544,aloleng,119.7824,16.1307,29.08,58,61,3.67,PH,2023-01-21 14:15:48
545,shetpe,52.1167,44.1667,-4.57,78,0,3.82,KZ,2023-01-21 14:15:49
546,guasdualito,-70.7324,7.2424,24.23,54,96,1.11,VE,2023-01-21 14:15:50
547,muriae,-42.3664,-21.1306,20.72,98,99,0.71,BR,2023-01-21 14:15:51
548,sur,59.5289,22.5667,19.43,46,0,4.14,OM,2023-01-21 14:15:51
